Strike,Call,Strike,Put
330.000,32304,310.000,75280
325.000,23557,315.000,50436
339.000,22761,290.000,50359
320.000,13907,240.000,49800
310.000,12981,270.000,48881
335.000,12756,300.000,44343
340.000,9787,255.000,37306
327.000,9658,320.000,31170
322.000,9475,230.000,30681
326.000,8921,305.000,29523
334.000,8623,297.000,28343
315.000,7821,295.000,24241
323.000,7608,285.000,20605
328.000,7555,306.000,18708
324.000,7536,309.000,18139
329.000,7091,291.000,16596
333.000,6927,322.000,16356
331.000,6590,275.000,13514
321.000,5499,273.000,12919
332.000,5405,294.000,12454
350.000,4396,265.000,12042
341.000,4000,308.000,11329
305.000,3350,277.000,11259
313.000,3282,250.000,10305
337.000,2986,280.000,9988
318.000,2718,311.000,9916
370.000,2542,292.000,9605
336.000,2416,245.000,9567
360.000,2398,325.000,9359
338.000,2333,200.000,7802
316.000,1970,312.000,7588
345.000,1929,314.000,7426
342.000,1906,321.000,7186
311.000,1888,317.000,7132
319.000,1872,304.000,6753
317.000,1848,303.000,6317
304.000,1522,316.000,6302
349.000,1294,302.000,6256
314.000,1237,260.000,5870
390.000,1215,324.000,5830
312.000,1161,301.000,5743
300.000,1110,318.000,5613
375.000,1080,284.000,4983
365.000,1004,299.000,4804
309.000,937,313.000,4401
355.000,783,319.000,4341
308.000,749,307.000,4293
343.000,695,326.000,4226
295.000,566,298.000,4131
306.000,542,323.000,3945
347.000,537,271.000,3451
302.000,468,278.000,3150
380.000,467,327.000,3119
344.000,398,288.000,2527
303.000,376,282.000,2510
290.000,357,293.000,2291
348.000,355,272.000,2251
346.000,355,296.000,2234
301.000,298,283.000,2183
307.000,295,328.000,2133
297.000,272,279.000,2088
292.000,266,195.000,2007
351.000,260,235.000,1862
296.000,231,289.000,1697
293.000,227,281.000,1690
298.000,224,286.000,1673
299.000,219,330.000,1532
285.000,202,210.000,1515
294.000,169,220.000,1287
385.000,153,225.000,1246
284.000,134,160.000,1183
354.000,121,276.000,1166
250.000,78,205.000,939
220.000,76,287.000,868
280.000,71,175.000,809
270.000,61,274.000,787
210.000,52,185.000,715
289.000,42,329.000,708
288.000,42,332.000,557
287.000,42,215.000,537
286.000,42,190.000,446
275.000,42,180.000,320
240.000,33,331.000,296
235.000,26,340.000,247
352.000,26,333.000,214
200.000,25,155.000,162
283.000,24,335.000,159
291.000,23,170.000,83
225.000,21,336.000,82
260.000,21,350.000,68
279.000,20,339.000,53
353.000,20,165.000,51
230.000,16,337.000,44
265.000,15,334.000,31
281.000,15,390.000,5
274.000,14,338.000,3
255.000,12,341.000,3
282.000,10,345.000,1
357.000,9,360.000,1
278.000,6,343.000,0
245.000,4,356.000,0
271.000,3,385.000,0
277.000,2,380.000,0
276.000,1,375.000,0
170.000,0,370.000,0
165.000,0,365.000,0
175.000,0,357.000,0
160.000,0,355.000,0
180.000,0,344.000,0
190.000,0,354.000,0
185.000,0,353.000,0
395.000,0,352.000,0
195.000,0,351.000,0
205.000,0,342.000,0
215.000,0,349.000,0
272.000,0,348.000,0
273.000,0,347.000,0
356.000,0,346.000,0
155.000,0,395.000,0
